date,competition,url,id,country,competition_class,season,race_type,category,discipline
19 Sep 2021,GO Cross presented by Deschutes Brewery day 2,https://dataride.uci.org/iframe/CompetitionResults/65046?disciplineId=3,65046,USA,C2,current,All,All,Cyclo-cross
19 Sep 2021,National Trophy Series Round 1: Derby,https://dataride.uci.org/iframe/CompetitionResults/65049?disciplineId=3,65049,GBR,C2,current,All,All,Cyclo-cross
19 Sep 2021,Gran Premi Les Franqueses,https://dataride.uci.org/iframe/CompetitionResults/65088?disciplineId=3,65088,ESP,C2,current,All,All,Cyclo-cross
18 Sep 2021,Le Grand CX,https://dataride.uci.org/iframe/CompetitionResults/65044?disciplineId=3,65044,FRA,C2,current,All,All,Cyclo-cross
18 Sep 2021,Beringen,https://dataride.uci.org/iframe/CompetitionResults/65067?disciplineId=3,65067,BEL,C2,current,All,All,Cyclo-cross
18 Sep 2021,GO Cross presented by Deschutes Brewery day 1,https://dataride.uci.org/iframe/CompetitionResults/65518?disciplineId=3,65518,USA,C2,current,All,All,Cyclo-cross
11 Sep 2021,Rapencross,https://dataride.uci.org/iframe/CompetitionResults/65045?disciplineId=3,65045,BEL,C2,current,All,All,Cyclo-cross
11 Sep 2021,4 Bikes Festival Cyclocross Race,https://dataride.uci.org/iframe/CompetitionResults/65152?disciplineId=3,65152,GER,C2,current,All,All,Cyclo-cross
15 Aug 2021,New Zealand National Championships,https://dataride.uci.org/iframe/CompetitionResults/65009?disciplineId=3,65009,NZL,CN,current,All,All,Cyclo-cross
