competition_url,competition_id,competition_name,discipline_id,discipline,competition_dates,competition_class,competition_venue,competition_country,name,date,venue,category,url,winner
https://dataride.uci.org/iframe/CompetitionResults/65049?disciplineId=3,65049,National Trophy Series Round 1: Derby,3,Cyclo-cross,19 Sep - 19 Sep 2021,Class 2,Derby,GREAT BRITAIN,Men Elite,19 Sep 2021,Derby,Men Elite,https://dataride.uci.org/iframe/EventResults/254014?competitionId=65049&disciplineId=3,Men Elite
https://dataride.uci.org/iframe/CompetitionResults/65049?disciplineId=3,65049,National Trophy Series Round 1: Derby,3,Cyclo-cross,19 Sep - 19 Sep 2021,Class 2,Derby,GREAT BRITAIN,Men Junior,19 Sep 2021,Derby,Men Junior,https://dataride.uci.org/iframe/EventResults/253786?competitionId=65049&disciplineId=3,Men Elite
https://dataride.uci.org/iframe/CompetitionResults/65049?disciplineId=3,65049,National Trophy Series Round 1: Derby,3,Cyclo-cross,19 Sep - 19 Sep 2021,Class 2,Derby,GREAT BRITAIN,Women Elite,19 Sep 2021,Derby,Women Elite,https://dataride.uci.org/iframe/EventResults/253867?competitionId=65049&disciplineId=3,Men Elite
https://dataride.uci.org/iframe/CompetitionResults/65049?disciplineId=3,65049,National Trophy Series Round 1: Derby,3,Cyclo-cross,19 Sep - 19 Sep 2021,Class 2,Derby,GREAT BRITAIN,Women Junior,19 Sep 2021,Derby,Women Junior,https://dataride.uci.org/iframe/EventResults/254049?competitionId=65049&disciplineId=3,Men Elite
