competition_url,competition_id,competition_name,discipline_id,discipline,competition_dates,competition_class,competition_venue,competition_country,name,date,venue,category,url,winner
https://dataride.uci.org/iframe/CompetitionResults/65152?disciplineId=3,65152,4 Bikes Festival Cyclocross Race,3,Cyclo-cross,11 Sep - 11 Sep 2021,Class 2,Lützelbach,GERMANY,Men Elite,11 Sep 2021,Lützelbach,Men Elite,https://dataride.uci.org/iframe/EventResults/253439?competitionId=65152&disciplineId=3,Men Elite
https://dataride.uci.org/iframe/CompetitionResults/65152?disciplineId=3,65152,4 Bikes Festival Cyclocross Race,3,Cyclo-cross,11 Sep - 11 Sep 2021,Class 2,Lützelbach,GERMANY,Women Elite,11 Sep 2021,Lützelbach,Women Elite,https://dataride.uci.org/iframe/EventResults/253349?competitionId=65152&disciplineId=3,Men Elite
https://dataride.uci.org/iframe/CompetitionResults/65152?disciplineId=3,65152,4 Bikes Festival Cyclocross Race,3,Cyclo-cross,11 Sep - 11 Sep 2021,Class 2,Lützelbach,GERMANY,Men Junior,11 Sep 2021,Lützelbach,Men Junior,https://dataride.uci.org/iframe/EventResults/253406?competitionId=65152&disciplineId=3,Men Elite
https://dataride.uci.org/iframe/CompetitionResults/65152?disciplineId=3,65152,4 Bikes Festival Cyclocross Race,3,Cyclo-cross,11 Sep - 11 Sep 2021,Class 2,Lützelbach,GERMANY,Women Junior,11 Sep 2021,Lützelbach,Women Junior,https://dataride.uci.org/iframe/EventResults/253430?competitionId=65152&disciplineId=3,Men Elite
