competition_url,competition_id,competition_name,discipline_id,discipline,competition_dates,competition_class,competition_venue,competition_country,name,date,venue,category,url,winner
https://dataride.uci.org/iframe/CompetitionResults/65113?disciplineId=3,65113,Cyclocross Bredene,3,Cyclo-cross,25 Sep - 25 Sep 2021,Class 2,Bredene,BELGIUM,Men Elite,25 Sep 2021,Bredene,Men Elite,https://dataride.uci.org/iframe/EventResults/253978?competitionId=65113&disciplineId=3,Men Elite
https://dataride.uci.org/iframe/CompetitionResults/65113?disciplineId=3,65113,Cyclocross Bredene,3,Cyclo-cross,25 Sep - 25 Sep 2021,Class 2,Bredene,BELGIUM,Men Junior,25 Sep 2021,Bredene,Men Junior,https://dataride.uci.org/iframe/EventResults/253739?competitionId=65113&disciplineId=3,Men Elite
https://dataride.uci.org/iframe/CompetitionResults/65113?disciplineId=3,65113,Cyclocross Bredene,3,Cyclo-cross,25 Sep - 25 Sep 2021,Class 2,Bredene,BELGIUM,Women Elite,25 Sep 2021,Bredene,Women Elite,https://dataride.uci.org/iframe/EventResults/253863?competitionId=65113&disciplineId=3,Men Elite
