competition_url,competition_id,competition_name,discipline_id,discipline,competition_dates,competition_class,competition_venue,competition_country,name,date,venue,category,url,winner
https://dataride.uci.org/iframe/CompetitionResults/65088?disciplineId=3,65088,Gran Premi Les Franqueses,3,Cyclo-cross,19 Sep - 19 Sep 2021,Class 2,Les Franqueses,SPAIN,Men Elite,19 Sep 2021,Les Franqueses,Men Elite,https://dataride.uci.org/iframe/EventResults/253921?competitionId=65088&disciplineId=3,Men Elite
https://dataride.uci.org/iframe/CompetitionResults/65088?disciplineId=3,65088,Gran Premi Les Franqueses,3,Cyclo-cross,19 Sep - 19 Sep 2021,Class 2,Les Franqueses,SPAIN,Men Junior,19 Sep 2021,Les Franqueses,Men Junior,https://dataride.uci.org/iframe/EventResults/253684?competitionId=65088&disciplineId=3,Men Elite
https://dataride.uci.org/iframe/CompetitionResults/65088?disciplineId=3,65088,Gran Premi Les Franqueses,3,Cyclo-cross,19 Sep - 19 Sep 2021,Class 2,Les Franqueses,SPAIN,Women Elite,19 Sep 2021,Les Franqueses,Women Elite,https://dataride.uci.org/iframe/EventResults/253816?competitionId=65088&disciplineId=3,Men Elite
