competition_url,competition_id,competition_name,discipline_id,discipline,competition_dates,competition_class,competition_venue,competition_country,name,date,venue,category,url,winner
https://dataride.uci.org/iframe/CompetitionResults/65044?disciplineId=3,65044,Le Grand CX,3,Cyclo-cross,18 Sep - 18 Sep 2021,Class 2,Île de Loisirs de Jablines-Annet,FRANCE,Men Elite,18 Sep 2021,Île de Loisirs de Jablines-Annet,Men Elite,https://dataride.uci.org/iframe/EventResults/254041?competitionId=65044&disciplineId=3,Men Elite
https://dataride.uci.org/iframe/CompetitionResults/65044?disciplineId=3,65044,Le Grand CX,3,Cyclo-cross,18 Sep - 18 Sep 2021,Class 2,Île de Loisirs de Jablines-Annet,FRANCE,Men Junior,18 Sep 2021,Île de Loisirs de Jablines-Annet,Men Junior,https://dataride.uci.org/iframe/EventResults/253782?competitionId=65044&disciplineId=3,Men Elite
https://dataride.uci.org/iframe/CompetitionResults/65044?disciplineId=3,65044,Le Grand CX,3,Cyclo-cross,18 Sep - 18 Sep 2021,Class 2,Île de Loisirs de Jablines-Annet,FRANCE,Women Elite,18 Sep 2021,Île de Loisirs de Jablines-Annet,Women Elite,https://dataride.uci.org/iframe/EventResults/253916?competitionId=65044&disciplineId=3,Men Elite
