date,competition,url,id,country,competition_class,season,race_type,category,discipline
11 Sep 2021,Rapencross,https://dataride.uci.org/iframe/CompetitionResults/65045?disciplineId=3,65045,BEL,C2,2022,All,All,Cyclo-cross
11 Sep 2021,4 Bikes Festival Cyclocross Race,https://dataride.uci.org/iframe/CompetitionResults/65152?disciplineId=3,65152,GER,C2,2022,All,All,Cyclo-cross
15 Aug 2021,New Zealand National Championships,https://dataride.uci.org/iframe/CompetitionResults/65009?disciplineId=3,65009,NZL,CN,2022,All,All,Cyclo-cross
