competition_url,competition_id,competition_name,discipline_id,discipline,competition_dates,competition_class,competition_venue,competition_country,name,date,venue,category,url,winner
https://dataride.uci.org/iframe/CompetitionResults/65021?disciplineId=3,65021,USCX Cyclocross - Rochester Cyclocross,3,Cyclo-cross,25 Sep - 25 Sep 2021,Class 1,"Rochester, NY",UNITED STATES OF AMERICA,Men Elite,25 Sep 2021,"Rochester, NY",Men Elite,https://dataride.uci.org/iframe/EventResults/253897?competitionId=65021&disciplineId=3,Men Elite
https://dataride.uci.org/iframe/CompetitionResults/65021?disciplineId=3,65021,USCX Cyclocross - Rochester Cyclocross,3,Cyclo-cross,25 Sep - 25 Sep 2021,Class 1,"Rochester, NY",UNITED STATES OF AMERICA,Men Junior,25 Sep 2021,"Rochester, NY",Men Junior,https://dataride.uci.org/iframe/EventResults/254023?competitionId=65021&disciplineId=3,Men Elite
https://dataride.uci.org/iframe/CompetitionResults/65021?disciplineId=3,65021,USCX Cyclocross - Rochester Cyclocross,3,Cyclo-cross,25 Sep - 25 Sep 2021,Class 1,"Rochester, NY",UNITED STATES OF AMERICA,Women Elite,25 Sep 2021,"Rochester, NY",Women Elite,https://dataride.uci.org/iframe/EventResults/253771?competitionId=65021&disciplineId=3,Men Elite
https://dataride.uci.org/iframe/CompetitionResults/65021?disciplineId=3,65021,USCX Cyclocross - Rochester Cyclocross,3,Cyclo-cross,25 Sep - 25 Sep 2021,Class 1,"Rochester, NY",UNITED STATES OF AMERICA,Women Junior,25 Sep 2021,"Rochester, NY",Women Junior,https://dataride.uci.org/iframe/EventResults/253899?competitionId=65021&disciplineId=3,Men Elite
