competition_url,competition_id,competition_name,discipline_id,discipline,competition_dates,competition_class,competition_venue,competition_country,name,date,venue,category,url,winner
https://dataride.uci.org/iframe/CompetitionResults/65046?disciplineId=3,65046,GO Cross presented by Deschutes Brewery day 2,3,Cyclo-cross,19 Sep - 19 Sep 2021,Class 2,"Roanoke, VA, USA",UNITED STATES OF AMERICA,Men Elite,19 Sep 2021,"Roanoke, VA, USA",Men Elite,https://dataride.uci.org/iframe/EventResults/253664?competitionId=65046&disciplineId=3,Men Elite
https://dataride.uci.org/iframe/CompetitionResults/65046?disciplineId=3,65046,GO Cross presented by Deschutes Brewery day 2,3,Cyclo-cross,19 Sep - 19 Sep 2021,Class 2,"Roanoke, VA, USA",UNITED STATES OF AMERICA,Men Junior,19 Sep 2021,"Roanoke, VA, USA",Men Junior,https://dataride.uci.org/iframe/EventResults/253845?competitionId=65046&disciplineId=3,Men Elite
https://dataride.uci.org/iframe/CompetitionResults/65046?disciplineId=3,65046,GO Cross presented by Deschutes Brewery day 2,3,Cyclo-cross,19 Sep - 19 Sep 2021,Class 2,"Roanoke, VA, USA",UNITED STATES OF AMERICA,Women Elite,19 Sep 2021,"Roanoke, VA, USA",Women Elite,https://dataride.uci.org/iframe/EventResults/253951?competitionId=65046&disciplineId=3,Men Elite
https://dataride.uci.org/iframe/CompetitionResults/65046?disciplineId=3,65046,GO Cross presented by Deschutes Brewery day 2,3,Cyclo-cross,19 Sep - 19 Sep 2021,Class 2,"Roanoke, VA, USA",UNITED STATES OF AMERICA,Women Junior,19 Sep 2021,"Roanoke, VA, USA",Women Junior,https://dataride.uci.org/iframe/EventResults/253670?competitionId=65046&disciplineId=3,Men Elite
