competition_url,competition_id,competition_name,discipline_id,discipline,competition_dates,competition_class,competition_venue,competition_country,name,date,venue,category,url,winner
https://dataride.uci.org/iframe/CompetitionResults/65045?disciplineId=3,65045,Rapencross,3,Cyclo-cross,11 Sep - 11 Sep 2021,Class 2,Lokeren,BELGIUM,Men Elite,11 Sep 2021,Lokeren,Men Elite,https://dataride.uci.org/iframe/EventResults/253685?competitionId=65045&disciplineId=3,Men Elite
https://dataride.uci.org/iframe/CompetitionResults/65045?disciplineId=3,65045,Rapencross,3,Cyclo-cross,11 Sep - 11 Sep 2021,Class 2,Lokeren,BELGIUM,Men Junior,11 Sep 2021,Lokeren,Men Junior,https://dataride.uci.org/iframe/EventResults/253765?competitionId=65045&disciplineId=3,Men Elite
https://dataride.uci.org/iframe/CompetitionResults/65045?disciplineId=3,65045,Rapencross,3,Cyclo-cross,11 Sep - 11 Sep 2021,Class 2,Lokeren,BELGIUM,Women Elite,11 Sep 2021,Lokeren,Women Elite,https://dataride.uci.org/iframe/EventResults/253945?competitionId=65045&disciplineId=3,Men Elite
