date,competition,url,id,country,competition_class,season,race_type,category,discipline
15 Dec 2019,Cyclo-Cross Internacional Ciudad de Valencia,https://dataride.uci.org/iframe/CompetitionResults/57912?disciplineId=3,57912,ESP,C2,2020,All,All,Cyclo-cross
15 Dec 2019,Gran Premio Città di Vittorio Veneto,https://dataride.uci.org/iframe/CompetitionResults/57935?disciplineId=3,57935,ITA,C2,2020,All,All,Cyclo-cross
15 Dec 2019,3eme manche de Coupe de France Cyclo-cross,https://dataride.uci.org/iframe/CompetitionResults/57978?disciplineId=3,57978,FRA,C2,2020,All,All,Cyclo-cross
15 Dec 2019,USA National Championships,https://dataride.uci.org/iframe/CompetitionResults/58564?disciplineId=3,58564,USA,CN,2020,All,All,Cyclo-cross
14 Dec 2019,DVV Verzekeringen trofee Hotondcross,https://dataride.uci.org/iframe/CompetitionResults/57805?disciplineId=3,57805,BEL,C1,2020,All,All,Cyclo-cross
14 Dec 2019,Utsunomiya Cyclo Cross Day1,https://dataride.uci.org/iframe/CompetitionResults/57902?disciplineId=3,57902,JPN,C2,2020,All,All,Cyclo-cross
14 Dec 2019,Ciclo-cross Ciudad de Xativa,https://dataride.uci.org/iframe/CompetitionResults/57911?disciplineId=3,57911,ESP,C2,2020,All,All,Cyclo-cross
14 Dec 2019,Toi Toi Cup,https://dataride.uci.org/iframe/CompetitionResults/57920?disciplineId=3,57920,CZE,C1,2020,All,All,Cyclo-cross
14 Dec 2019,Czech National Championships - MJ,https://dataride.uci.org/iframe/CompetitionResults/57921?disciplineId=3,57921,CZE,CN,2020,All,All,Cyclo-cross
14 Dec 2019,Romania National Championships,https://dataride.uci.org/iframe/CompetitionResults/58569?disciplineId=3,58569,ROU,CN,2020,All,All,Cyclo-cross
08 Dec 2019,Telenet Superprestige Zonhoven,https://dataride.uci.org/iframe/CompetitionResults/57807?disciplineId=3,57807,BEL,C1,2020,All,All,Cyclo-cross
08 Dec 2019,Ciclocross del Ponte,https://dataride.uci.org/iframe/CompetitionResults/57844?disciplineId=3,57844,ITA,C2,2020,All,All,Cyclo-cross
08 Dec 2019,Resolution 'Cross Cup,https://dataride.uci.org/iframe/CompetitionResults/57874?disciplineId=3,57874,USA,C2,2020,All,All,Cyclo-cross
08 Dec 2019,Japanese National Championships,https://dataride.uci.org/iframe/CompetitionResults/57900?disciplineId=3,57900,JPN,CN,2020,All,All,Cyclo-cross
08 Dec 2019,Ziklo kross Igorre,https://dataride.uci.org/iframe/CompetitionResults/57910?disciplineId=3,57910,ESP,C2,2020,All,All,Cyclo-cross
08 Dec 2019,Int. Radquerfeldein GP Lambach/Stadl-Paura,https://dataride.uci.org/iframe/CompetitionResults/57961?disciplineId=3,57961,AUT,C2,2020,All,All,Cyclo-cross
08 Dec 2019,NBX GP of Cross 2,https://dataride.uci.org/iframe/CompetitionResults/58279?disciplineId=3,58279,USA,C2,2020,All,All,Cyclo-cross
07 Dec 2019,IKO cyclocross - Essen,https://dataride.uci.org/iframe/CompetitionResults/57819?disciplineId=3,57819,BEL,C1,2020,All,All,Cyclo-cross
07 Dec 2019,Resolution 'Cross Cup,https://dataride.uci.org/iframe/CompetitionResults/57873?disciplineId=3,57873,USA,C2,2020,All,All,Cyclo-cross
07 Dec 2019,Toi Toi Cup,https://dataride.uci.org/iframe/CompetitionResults/57919?disciplineId=3,57919,CZE,C2,2020,All,All,Cyclo-cross
07 Dec 2019,Trofeo San Andres,https://dataride.uci.org/iframe/CompetitionResults/58045?disciplineId=3,58045,ESP,C2,2020,All,All,Cyclo-cross
07 Dec 2019,NBX GP of Cross 1,https://dataride.uci.org/iframe/CompetitionResults/58278?disciplineId=3,58278,USA,C2,2020,All,All,Cyclo-cross
01 Dec 2019,Lampiris Zilvermeercross,https://dataride.uci.org/iframe/CompetitionResults/57818?disciplineId=3,57818,BEL,C1,2020,All,All,Cyclo-cross
01 Dec 2019,International Ciclocross selle SMP-11°Trof.Cop.ed.Brugherio82,https://dataride.uci.org/iframe/CompetitionResults/57878?disciplineId=3,57878,ITA,C2,2020,All,All,Cyclo-cross
01 Dec 2019,Cyclo cross du Mingant Lanarvily,https://dataride.uci.org/iframe/CompetitionResults/57924?disciplineId=3,57924,FRA,C2,2020,All,All,Cyclo-cross
01 Dec 2019,Ruts 'n' Guts 2,https://dataride.uci.org/iframe/CompetitionResults/57933?disciplineId=3,57933,USA,C2,2020,All,All,Cyclo-cross
01 Dec 2019,Flückiger Cross Madiswil,https://dataride.uci.org/iframe/CompetitionResults/57934?disciplineId=3,57934,SUI,C2,2020,All,All,Cyclo-cross
01 Dec 2019,Slovak national championships,https://dataride.uci.org/iframe/CompetitionResults/58044?disciplineId=3,58044,SVK,CN,2020,All,All,Cyclo-cross
01 Dec 2019,Gran Premio Ciudad de Pontevedra,https://dataride.uci.org/iframe/CompetitionResults/58695?disciplineId=3,58695,ESP,C2,2020,All,All,Cyclo-cross
01 Dec 2019,Finnish National Championships,https://dataride.uci.org/iframe/CompetitionResults/59979?disciplineId=3,59979,FIN,CN,2020,All,All,Cyclo-cross
30 Nov 2019,Toi Toi Cup,https://dataride.uci.org/iframe/CompetitionResults/57888?disciplineId=3,57888,CZE,C2,2020,All,All,Cyclo-cross
30 Nov 2019,Ruts 'n' Guts 1,https://dataride.uci.org/iframe/CompetitionResults/57914?disciplineId=3,57914,USA,C2,2020,All,All,Cyclo-cross
30 Nov 2019,GRAN PREMIO GUERCIOTTI,https://dataride.uci.org/iframe/CompetitionResults/58658?disciplineId=3,58658,ITA,C2,2020,All,All,Cyclo-cross
30 Nov 2019,Abadiñoko udala saria,https://dataride.uci.org/iframe/CompetitionResults/58696?disciplineId=3,58696,ESP,C2,2020,All,All,Cyclo-cross
30 Nov 2019,DVV Verzekeringen trofee Kortrijk,https://dataride.uci.org/iframe/CompetitionResults/59129?disciplineId=3,59129,BEL,C2,2020,All,All,Cyclo-cross
24 Nov 2019,"2019-2020 Telenet UCI Cyclo-cross World Cup, Koksijde",https://dataride.uci.org/iframe/CompetitionResults/57744?disciplineId=3,57744,BEL,CDM,2020,All,All,Cyclo-cross
24 Nov 2019,National Trophy Series Round 5: Pembrey,https://dataride.uci.org/iframe/CompetitionResults/57877?disciplineId=3,57877,GBR,C2,2020,All,All,Cyclo-cross
24 Nov 2019,Bryksy Cross Gościęcin,https://dataride.uci.org/iframe/CompetitionResults/57923?disciplineId=3,57923,POL,C2,2020,All,All,Cyclo-cross
24 Nov 2019,North Carolina Grand Prix - Race 2,https://dataride.uci.org/iframe/CompetitionResults/57932?disciplineId=3,57932,USA,C2,2020,All,All,Cyclo-cross
23 Nov 2019,Ambiancecross,https://dataride.uci.org/iframe/CompetitionResults/57816?disciplineId=3,57816,BEL,C1,2020,All,All,Cyclo-cross
23 Nov 2019,Rapha Supercross Nobeyama,https://dataride.uci.org/iframe/CompetitionResults/57899?disciplineId=3,57899,JPN,C1,2020,All,All,Cyclo-cross
23 Nov 2019,North Carolina Grand Prix - Race 1,https://dataride.uci.org/iframe/CompetitionResults/57931?disciplineId=3,57931,USA,C2,2020,All,All,Cyclo-cross
23 Nov 2019,Grand Prix Kosice,https://dataride.uci.org/iframe/CompetitionResults/58042?disciplineId=3,58042,SVK,C2,2020,All,All,Cyclo-cross
17 Nov 2019,DVV Verzekeringen trofee Flandriencross,https://dataride.uci.org/iframe/CompetitionResults/57815?disciplineId=3,57815,BEL,C1,2020,All,All,Cyclo-cross
17 Nov 2019,EKZ CrossTour,https://dataride.uci.org/iframe/CompetitionResults/57851?disciplineId=3,57851,SUI,C1,2020,All,All,Cyclo-cross
17 Nov 2019,Major Taylor Cross Cup,https://dataride.uci.org/iframe/CompetitionResults/57871?disciplineId=3,57871,USA,C2,2020,All,All,Cyclo-cross
17 Nov 2019,Supercross Day 2,https://dataride.uci.org/iframe/CompetitionResults/57872?disciplineId=3,57872,USA,C2,2020,All,All,Cyclo-cross
17 Nov 2019,40th anniversary of the World memorial ciclocross Saccolongo,https://dataride.uci.org/iframe/CompetitionResults/57876?disciplineId=3,57876,ITA,C2,2020,All,All,Cyclo-cross
17 Nov 2019,KANSAI Cyclo Cross Makino Round,https://dataride.uci.org/iframe/CompetitionResults/57898?disciplineId=3,57898,JPN,C2,2020,All,All,Cyclo-cross
17 Nov 2019,Norwegian National Championships,https://dataride.uci.org/iframe/CompetitionResults/58537?disciplineId=3,58537,NOR,CN,2020,All,All,Cyclo-cross
16 Nov 2019,"2019-2020 Telenet UCI Cyclo-cross World Cup, Tabor",https://dataride.uci.org/iframe/CompetitionResults/57743?disciplineId=3,57743,CZE,CDM,2020,All,All,Cyclo-cross
16 Nov 2019,Supercross Day 1,https://dataride.uci.org/iframe/CompetitionResults/57869?disciplineId=3,57869,USA,C2,2020,All,All,Cyclo-cross
16 Nov 2019,Major Taylor Cross Cup,https://dataride.uci.org/iframe/CompetitionResults/57870?disciplineId=3,57870,USA,C2,2020,All,All,Cyclo-cross
11 Nov 2019,Jaarmarktcross,https://dataride.uci.org/iframe/CompetitionResults/57814?disciplineId=3,57814,BEL,C1,2020,All,All,Cyclo-cross
10 Nov 2019,National Trophy Series Round 4: Crawley,https://dataride.uci.org/iframe/CompetitionResults/57843?disciplineId=3,57843,GBR,C2,2020,All,All,Cyclo-cross
10 Nov 2019,Cyclo-cross de Karrantza,https://dataride.uci.org/iframe/CompetitionResults/57909?disciplineId=3,57909,ESP,C2,2020,All,All,Cyclo-cross
10 Nov 2019,The Northampton International,https://dataride.uci.org/iframe/CompetitionResults/57930?disciplineId=3,57930,USA,C2,2020,All,All,Cyclo-cross
09 Nov-10 Nov 2019,Pan-American Championships,https://dataride.uci.org/iframe/CompetitionResults/57913?disciplineId=3,57913,CAN,CC,2020,All,All,Cyclo-cross
09 Nov 2019,Silver Goose Cyclocross Festival,https://dataride.uci.org/iframe/CompetitionResults/57928?disciplineId=3,57928,CAN,C2,2020,All,All,Cyclo-cross
09 Nov 2019,The Northampton International,https://dataride.uci.org/iframe/CompetitionResults/57929?disciplineId=3,57929,USA,C2,2020,All,All,Cyclo-cross
09 Nov-10 Nov 2019,UEC Cyclo-cross European Championships,https://dataride.uci.org/iframe/CompetitionResults/57957?disciplineId=3,57957,ITA,CC,2020,All,All,Cyclo-cross
03 Nov 2019,Really Rad Festival of Cyclocross Day 2,https://dataride.uci.org/iframe/CompetitionResults/57868?disciplineId=3,57868,USA,C2,2020,All,All,Cyclo-cross
03 Nov 2019,November Cross,https://dataride.uci.org/iframe/CompetitionResults/57881?disciplineId=3,57881,ROU,C2,2020,All,All,Cyclo-cross
03 Nov 2019,Yowamushi-Pedal Makuhari Cross p/b Champion System,https://dataride.uci.org/iframe/CompetitionResults/57897?disciplineId=3,57897,JPN,C2,2020,All,All,Cyclo-cross
03 Nov 2019,Gran Premi Internacional Ciutat de Vic,https://dataride.uci.org/iframe/CompetitionResults/57908?disciplineId=3,57908,ESP,C2,2020,All,All,Cyclo-cross
03 Nov 2019,Telenet Superprestige Ruddervoorde,https://dataride.uci.org/iframe/CompetitionResults/57925?disciplineId=3,57925,BEL,C1,2020,All,All,Cyclo-cross
03 Nov 2019,PTBOCX,https://dataride.uci.org/iframe/CompetitionResults/57927?disciplineId=3,57927,CAN,C2,2020,All,All,Cyclo-cross
03 Nov 2019,2eme manche de Coupe de France Cyclo-cross,https://dataride.uci.org/iframe/CompetitionResults/57977?disciplineId=3,57977,FRA,C2,2020,All,All,Cyclo-cross
02 Nov 2019,Canadian National Championships,https://dataride.uci.org/iframe/CompetitionResults/57839?disciplineId=3,57839,CAN,CN,2020,All,All,Cyclo-cross
