competition_url,competition_id,competition_name,discipline_id,discipline,competition_dates,competition_class,competition_venue,competition_country,name,date,venue,category,url,winner
https://dataride.uci.org/iframe/CompetitionResults/65518?disciplineId=3,65518,GO Cross presented by Deschutes Brewery day 1,3,Cyclo-cross,18 Sep - 18 Sep 2021,Class 2,"Roanoke, VA, USA",UNITED STATES OF AMERICA,Men Elite,18 Sep 2021,"Roanoke, VA, USA",Men Elite,https://dataride.uci.org/iframe/EventResults/257580?competitionId=65518&disciplineId=3,Men Elite
https://dataride.uci.org/iframe/CompetitionResults/65518?disciplineId=3,65518,GO Cross presented by Deschutes Brewery day 1,3,Cyclo-cross,18 Sep - 18 Sep 2021,Class 2,"Roanoke, VA, USA",UNITED STATES OF AMERICA,Women Elite,18 Sep 2021,"Roanoke, VA, USA",Women Elite,https://dataride.uci.org/iframe/EventResults/257581?competitionId=65518&disciplineId=3,Men Elite
https://dataride.uci.org/iframe/CompetitionResults/65518?disciplineId=3,65518,GO Cross presented by Deschutes Brewery day 1,3,Cyclo-cross,18 Sep - 18 Sep 2021,Class 2,"Roanoke, VA, USA",UNITED STATES OF AMERICA,Men Junior,18 Sep 2021,"Roanoke, VA, USA",Men Junior,https://dataride.uci.org/iframe/EventResults/257582?competitionId=65518&disciplineId=3,Men Elite
https://dataride.uci.org/iframe/CompetitionResults/65518?disciplineId=3,65518,GO Cross presented by Deschutes Brewery day 1,3,Cyclo-cross,18 Sep - 18 Sep 2021,Class 2,"Roanoke, VA, USA",UNITED STATES OF AMERICA,Women Junior,18 Sep 2021,"Roanoke, VA, USA",Women Junior,https://dataride.uci.org/iframe/EventResults/257583?competitionId=65518&disciplineId=3,Men Elite
