race_name,date,venue,category,event_url,winner
New Zealand National Championships,15 Aug 2021,"Lower Hutt, Wellington",Men Elite,https://dataride.uci.org/iframe/EventResults/253649?competitionId=65009&disciplineId=3,BURNETT Josh
New Zealand National Championships,15 Aug 2021,"Lower Hutt, Wellington",Men Junior,https://dataride.uci.org/iframe/EventResults/253812?competitionId=65009&disciplineId=3,NICOL Coen
New Zealand National Championships,15 Aug 2021,"Lower Hutt, Wellington",Women Elite,https://dataride.uci.org/iframe/EventResults/253658?competitionId=65009&disciplineId=3,MCILROY Kate
New Zealand National Championships,15 Aug 2021,"Lower Hutt, Wellington",Women Junior,https://dataride.uci.org/iframe/EventResults/253838?competitionId=65009&disciplineId=3,GRAY Seana
