race_name,date,venue,category,event_url,winner
4 Bikes Festival Cyclocross Race,11 Sep 2021,Lützelbach,Men Elite,https://dataride.uci.org/iframe/EventResults/253439?competitionId=65152&disciplineId=3,MEISEN Marcel
4 Bikes Festival Cyclocross Race,11 Sep 2021,Lützelbach,Women Elite,https://dataride.uci.org/iframe/EventResults/253349?competitionId=65152&disciplineId=3,KRAHL Judith
4 Bikes Festival Cyclocross Race,11 Sep 2021,Lützelbach,Men Junior,https://dataride.uci.org/iframe/EventResults/253406?competitionId=65152&disciplineId=3,DE MOYER Kenay
4 Bikes Festival Cyclocross Race,11 Sep 2021,Lützelbach,Women Junior,https://dataride.uci.org/iframe/EventResults/253430?competitionId=65152&disciplineId=3,VAN SINAEY Xaydee
