competition_url,competition_id,competition_name,discipline_id,discipline,competition_dates,competition_class,competition_venue,competition_country,name,date,venue,category,url,winner
https://dataride.uci.org/iframe/CompetitionResults/65067?disciplineId=3,65067,Beringen,3,Cyclo-cross,18 Sep - 18 Sep 2021,Class 2,Beringen,BELGIUM,Men Elite,18 Sep 2021,Beringen,Men Elite,https://dataride.uci.org/iframe/EventResults/253730?competitionId=65067&disciplineId=3,Men Elite
https://dataride.uci.org/iframe/CompetitionResults/65067?disciplineId=3,65067,Beringen,3,Cyclo-cross,18 Sep - 18 Sep 2021,Class 2,Beringen,BELGIUM,Men Junior,18 Sep 2021,Beringen,Men Junior,https://dataride.uci.org/iframe/EventResults/253859?competitionId=65067&disciplineId=3,Men Elite
https://dataride.uci.org/iframe/CompetitionResults/65067?disciplineId=3,65067,Beringen,3,Cyclo-cross,18 Sep - 18 Sep 2021,Class 2,Beringen,BELGIUM,Women Elite,18 Sep 2021,Beringen,Women Elite,https://dataride.uci.org/iframe/EventResults/254036?competitionId=65067&disciplineId=3,Men Elite
